Name,Draft,Round,Pick,Position(s),Handedness,Height,Weight,DOB,City of Birth,Count(r)y of Birth,College,Drafted By
Precious Achiuwa,2020,1,20,C PF,Right,6'8,225,19/09/1999,Port Harcourt,Nigeria,Memphis,Miami Heat,achiupr01
Steven Adams,2013,1,12,C,Right,6'11,265,20/07/1993,Rotorua,New Zealand,Pitt,Oklahoma City Thunder,adamsst01
Bam Adebayo,2017,1,14,C PF,Right,6'9,255,18/07/1997,Newark,New Jersey,Kentucky,Miami Heat,adebaba01
Ochai Agbaji,2022,1,14,SG,Right,6'5,215,20/04/2000,Milwaukee,Wisconsin,Kansas,Cleveland Cavaliers,agbajoc01
Santi Aldama,2021,1,30,PF,Right,6'11,224,10/01/2001,Las Palmas,Spain,Loyola,Utah Jazz,aldamsa01
Nickeil Alexander-Walker,2019,1,17,SG,Right,6'5,205,02/09/1998,Toronto,Ontario,Virginia Tech,Brooklyn Nets,alexani01
Grayson Allen,2018,1,21,SG,Right,6'4,198,08/10/1995,Jacksonville,Florida,Duke,Utah Jazz,allengr01
Jarrett Allen,2017,1,22,C,Right,6'11,243,21/04/1998,San Diego,California,Texas,Brooklyn Nets,allenja01
Timmy Allen,0,0,0,SF,Right,6'6,210,09/01/2000,Mesa,Arizona,Utah/Texas,Undrafted,allenti01
Jose Alvarado,0,0,0,PG,Right,6'0,179,12/04/1998,Brooklyn,New York,Georgia Tech,Undrafted,alvarjo01
Kyle Anderson,2014,1,30,SF PF,Right,6'9,230,20/09/1993,New York,New York,UCLA,San Antonio Spurs,anderky01
Giannis Antetokounmpo,2013,1,15,PF SF PG SG,Right,6'11,242,06/12/1994,Athens,Greece,None,Milwaukee Bucks,antetgi01
Thanasis Antetokounmpo,2014,2,21,SF PF,Right,6'7,219,18/07/1992,Athens,Greece,None,New York Knicks,antetth01
Cole Anthony,2020,1,15,PG,Right,6'2,185,15/05/2000,Portland,Oregon,UNC,Orlando Magic,anthoco01
OG Anunoby,2017,1,23,SF,Right,6'7,232,17/07/1997,London,United Kingdom,Indiana,Toronto Raptors,anunoog01
Ryan Arcidiacono,0,0,0,PG,Right,6'3,195,26/03/1994,Philadelphia,Pennsylvania,Villanova,Undrafted,arcidry01
Deni Avdija,2020,1,9,SF,Right,6'9,210,03/01/2001,Beit Zera,Israel,None,Washington Wizards,avdijde01
Deandre Ayton,2018,1,1,C,Right,7'0,250,23/07/1998,Nassau,Bahamas,Arizona,Phoenix Suns,aytonde01
Udoka Azubuike,2020,1,27,C,Right,6'10,280,17/07/1999,Lagos,Nigeria,Kansas,Utah Jazz,azubuud01
Ibou Badji,0,0,0,C,Right,7'1,240,13/10/2002,Dakar,Senegal,None,Undrafted,badjiib01
Marvin Bagley III,2018,1,2,C PF,Left,6'10,235,14/03/1999,Tempe,Arizona,Duke,Sacramento Kings,baglema01
Amari Bailey,2023,2,11,PG,Left,6'5,185,17/02/2004,New Orleans,Louisiana,UCLA,Charlotte Hornets,baileam01
Patrick Baldwin Jr.,2022,1,28,SF,Right,6'9,220,18/11/2002,Green Bay,Wisconsin,UW-Milwuakee,Golden State Warriors,baldwpa01
LaMelo Ball,2020,1,3,PG,Right,6'7,180,22/08/2001,Anaheim,California,None,Charlotte Hornets,ballla01
Lonzo Ball,2017,1,2,PG,Right,6'6,190,27/10/1997,Anaheim,California,UCLA,Los Angeles Lakers,balllo01
Mo Bamba,2018,1,6,C,Right,7'0,231,12/05/1998,Harlem,New York,Texas,Orlando Magic,bambamo01
Paolo Banchero,2022,1,1,PF,Right,6'10,250,12/11/2002,Seattle,Washington,Duke,Orlando Magic,banchpa01
Desmond Bane,2020,1,30,SG,Right,6'5,215,25/06/1998,Richmond,Indiana,TCU,Boston Celtics,banede01
Dalano Banton,2021,2,16,PG,Right,6'9,204,07/11/1999,Toronto,Ontario,Nebraska,Toronto Raptors,bantoda01
Dominick Barlow,0,0,0,PF,Right,6'9,221,26/05/2003,Hackensack,New Jersey,None,Undrafted,barlodo01
Harrison Barnes,2012,1,7,PF SF,Right,6'8,225,30/05/1992,Ames,Iowa,UNC,Golden State Warriors,barneha02
Scottie Barnes,2021,1,4,SG SF PF,Right,6'7,227,01/08/2001,West Palm Beach,Florida,Florida State,Toronto Raptors,barnesc01
RJ Barrett,2019,1,3,SG SF,Left,6'6,214,14/06/2000,Toronto,Ontario,Duke,New York Knicks,barrerj01
Charles Bassey,2021,2,23,C,Right,6'10,235,28/10/2000,Lagos,Nigeria,Western Kentucky,Philadelphia 76ers,bassech01
Emoni Bates,2023,2,19,SF,Right,6'10,170,28/01/2004,Ann Arbor,Michigan,Eastern Michigan/Memphis,Cleveland Cavaliers,batesem01
Keita Bates-Diop,2018,2,18,SF PF,Right,6'8,229,23/01/1996,Bloomington,Illinois,Ohio State,Minnesota Timberwolves,bateske01
Nicolas Batum,2008,1,25,SF,Right,6'8,230,14/12/1988,Lisieux,France,None,Houston Rockets,batumni01
Darius Bazley,2019,1,23,PF C,Left,6'8,208,12/06/2000,Boston,Massachusetts,None,Utah Jazz,bazleda01
Bradley Beal,2012,1,3,SG,Right,6'4,207,28/06/1993,St. Louis,Missouri,Florida,Washington Wizards,bealbr01
Malik Beasley,2016,1,19,SG,Right,6'4,187,26/11/1996,Atlanta,Georgia,Florida State,Denver Nuggets,beaslma01
MarJon Beauchamp,2022,1,24,SF,Right,6'6,199,12/10/2000,Yakima,Washington,Yakima Valley Community College,Milwaukee Bucks,beaucma01
Jules Bernard,0,0,0,SG,Left,6'7,210,21/01/2000,Los Angeles,California,UCLA,Undrafted,bernaju01
Davis Bertans,2011,2,12,PF,Right,6'10,225,12/11/1992,Valmiera,Latvia,None,Indiana Pacers,bertada01
Patrick Beverley,2009,2,12,PG SG,Right,6'2,180,12/07/1988,Chicago,Illinois,Arkansas,Los Angeles Lakers,beverpa01
Saddiq Bey,2020,1,19,SF,Right,6'7,215,09/04/1999,Charlotte,North Carolina,Villanova,Brooklyn Nets,beysa01
Goga Bitadze,2019,1,18,C,Right,6'11,250,20/07/1999,Sagarejo,Georgia,None,Indiana Pacers,bitadgo01
Onuralp Bitim,0,0,0,SG,Right,6'6,215,31/03/1999,Kadıköy,Turkey,None,Undrafted,bitimon01
Bismack Biyombo,2011,1,7,C,Right,6'8,255,28/08/1992,Lubumbashi,Democratic Republic of the Congo,None,Sacramento Kings,biyombi01
Anthony Black,2023,1,6,PG,Right,6'7,198,20/01/2004,Duncanville,Texas,Arkansas,Orlando Magic,blackan01
Leaky Black,0,0,0,SF,Right,6'9,205,14/06/1999,Concord,North Carolina,UNC,Undrafted,blackle01
Buddy Boeheim,0,0,0,SF,Right,6'6,205,11/11/1999,Fayetteville,New York,Syracuse,Undrafted,boehebu01
Bogdan Bogdanovic,2014,1,27,SG,Right,6'5,220,18/08/1992,Belgrade,Serbia,None,Phoenix Suns,bogdabo01
Bojan Bogdanovic,2011,2,1,SF PF,Right,6'7,226,18/04/1989,Mostar,Bosnia and Herzegovina,None,Miami Heat,bogdabo02
Bol Bol,2019,2,14,PF,Right,7'3,220,16/11/1999,Khartoum,Sudan,Oregon,Miami Heat,bolbo01
Marques Bolden,0,0,0,C,Right,6'10,249,17/04/1998,Dallas,Texas,Duke,Undrafted,boldema01
Devin Booker,2015,1,13,SG PG,Right,6'6,206,30/10/1996,Grand Rapids,Michigan,Kentucky,Phoenix Suns,bookede01
Brandon Boston Jr.,2021,2,21,SF SG,Right,6'7,185,28/11/2001,Norcross,Georgia,Kentucky,Memphis Grizzlies,bostobr01
Chris Boucher,0,0,0,PF,Right,6'9,200,11/01/1993,Castries,Saint Lucia,Oregon,Undrafted,boucech01
James Bouknight,2021,1,11,SG,Right,6'5,190,18/09/2000,Brooklyn,New York,UConn,Charlotte Hornets,bouknja01
Jamaree Bouyea,0,0,0,PG,Right,6'2,180,27/06/1999,Seaside,California,San Francisco,Undrafted,bouyeja01
Malaki Branham,2022,1,20,PG SG,Right,6'4,180,12/05/2003,Columbus,Ohio,Ohio State,San Antonio Spurs,branhma01
Christian Braun,2022,1,21,SG,Right,6'6,218,17/04/2001,Burlington,Kansas,Kansas,Denver Nuggets,braunch01
Mikal Bridges,2018,1,10,SF SG,Right,6'6,209,30/08/1996,Philadelphia,Pennsylvania,Villanova,Philadelphia 76ers,bridgmi01
Miles Bridges,2018,1,12,SF PF,Left,6'7,225,21/03/1998,Huntington,West Virginia,Michigan State,Los Angeles Clippers,bridgmi02
Oshae Brissett,0,0,0,SF PF,Right,6'7,210,20/06/1998,Toronto,Ontario,Syracuse,Undrafted,brissos01
Izaiah Brockington,0,0,0,PG,Left,6'4,200,12/07/1999,Towson,Maryland,St/Bonaventure,Undrafted,brockiz01
Malcolm Brogdon,2016,2,6,PG SG,Right,6'4,229,11/12/1992,Atlanta,Georgia,Virginia,Milwaukee Bucks,brogdma01
Armoni Brooks,0,0,0,PG SG,Right,6'3,195,05/06/1998,Waco,Texas,Houston,Undrafted,brookar01
Dillon Brooks,2017,2,15,SF SG,Right,6'6,225,22/01/1996,Mississauga,Ontario,Oregon,Houston Rockets,brookdi01
Bruce Brown,2018,2,12,PG,Right,6'4,202,15/08/1996,Boston,Massachusetts,Miami ,Detroit Pistons,brownbr01
Charlie Brown Jr.,0,0,0,SG,Right,6'6,199,02/02/1997,Philadelphia,Pennsylvania,Saint Joseph,Undrafted,brownch02
Greg Brown III,2021,2,13,PF SF,Right,6'7,205,01/09/2001,Dallas,Texas,Texas,New Orleans Pelicans,brownch05
Jaylen Brown,2016,1,3,SG SF,Right,6'6,223,24/10/1996,Marietta,Georgia,California,Boston Celtics,brownja02
Kendall Brown,2022,2,18,SG,Right,6'8,205,11/05/2003,St. Paul,Minnesota,Baylor,Minnesota Timberwolves,brownke03
Kobe Brown,2023,1,30,PF,Right,6'7,250,01/01/2000,Huntsville,Alabama,Missouri,Los Angeles Clippers,brownko01
Moses Brown,0,0,0,C,Right,7'2,245,13/10/1999,New York,New York,UCLA,Undrafted,brownmo01
Troy Brown Jr.,2018,1,15,SF,Right,6'6,215,28/07/1999,Las Vegas,Nevada,Oregon,Washington Wizards,browntr01
Jalen Brunson,2018,2,3,PG SG,Left,6'2,190,31/08/1996,New Brunswick,New Jersey,Villanova,Dallas Mavericks,brunsja01
Thomas Bryant,2017,2,12,C,Right,6'10,248,31/07/1997,Rochester,New York,Indiana,Utah Jazz,bryanth01
Kobe Bufkin,2023,1,15,SG,Left,6'4,195,21/09/2003,Grand Rapids,Michigan,Michigan,Atlanta Hawks,bufkiko01
Reggie Bullock,2013,1,25,SF SG,Right,6'6,205,16/03/1991,Baltimore,Maryland,UNC,Los Angeles Clippers,bullore01
Alec Burks,2011,1,12,SG SF,Right,6'6,214,20/07/1991,Grandview,Missouri,Colorado,Utah Jazz,burksal01
Jared Butler,2021,2,10,PG SG,Right,6'3,195,25/08/2000,Reserve,Louisiana,Baylor,New Orleans Pelicans,butleja01
